"TimeStamp","Latitude","Longitude","Heading","Speed","AISSource","IMO","Name"
2018-08-13 22:38:56,"-29.4524","45.58743","62.8","13.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:38:49,"-29.4526","45.58697","62.4","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:38:43,"-29.45277","45.58659","62.7","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:38:34,"-29.45304","45.58599","62.9","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:38:25,"-29.45329","45.58542","62.9","13.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:38:14,"-29.4536","45.5847","63.1","13.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:55,"-29.45418","45.58347","63.3","13.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:43,"-29.45449","45.58278","63.1","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:25,"-29.45504","45.58155","63.9","13.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:37:14,"-29.45531","45.58089","62.1","13.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:36:55,"-29.45588","45.57959","62.2","13.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:36:43,"-29.45625","45.57881","63.9","13.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:33:47,"-29.46137","45.56723","63.7","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:20:37,"-29.48362","45.51609","63.3","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:20:17,"-29.48419","45.51482","63","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:20:07,"-29.48447","45.51419","62.7","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:19:56,"-29.48482","45.51347","64.1","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:19:47,"-29.48503","45.51293","62.9","13.6","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:19:37,"-29.48531","45.5123","62.9","13.6","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:19:17,"-29.48591","45.51098","64.5","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:19:07,"-29.48621","45.51024","64.3","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:18:56,"-29.48651","45.50953","64.5","13.6","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:17:46,"-29.48834","45.50508","63.6","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:17:46,"-29.48834","45.50508","63.6","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:17:46,"-29.48834","45.50508","63.6","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:17:46,"-29.48834","45.50508","63.6","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:17:46,"-29.48834","45.50508","63.6","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 22:05:36,"-29.50777","45.4581","65.5","13.4","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 21:58:26,"-29.51937","45.43082","64.5","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 21:49:05,"-29.53365","45.39533","66","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 21:30:26,"-29.56266","45.32542","62.5","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 21:30:26,"-29.56266","45.32542","62.5","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 21:27:34,"-29.5674","45.3148","62.8","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 21:27:14,"-29.56795","45.31357","63.3","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 21:26:34,"-29.56908","45.31108","62.1","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 21:23:07,"-29.57485","45.29809","63.8","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:54:25,"-29.6202","45.18926","64.9","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:52:35,"-29.62305","45.18228","64.6","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:48:27,"-29.62958","45.16654","65.5","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:47:26,"-29.63115","45.16267","64.8","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:47:07,"-29.63166","45.16145","64.9","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:46:57,"-29.63194","45.16085","66.6","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:46:57,"-29.63194","45.16085","66.6","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:46:46,"-29.63221","45.16013","65.4","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:46:46,"-29.63221","45.16013","65.4","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:46:36,"-29.63246","45.15951","66.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:45:26,"-29.63419","45.15502","65.1","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:45:07,"-29.63467","45.15382","65.1","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:44:36,"-29.63547","45.15186","65.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:44:07,"-29.63618","45.15","65.6","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:43:26,"-29.63721","45.14736","66.9","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:43:17,"-29.63742","45.14677","65.8","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:43:17,"-29.63742","45.14677","65.8","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:43:17,"-29.63742","45.14677","65.8","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:43:07,"-29.63767","45.14613","67.2","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:42:17,"-29.63888","45.14288","65.1","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:42:06,"-29.63918","45.14219","67.2","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:41:36,"-29.63991","45.14025","65.8","13.4","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:41:26,"-29.64016","45.13959","66.2","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:41:17,"-29.64038","45.13901","67","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:40:26,"-29.64162","45.13572","66.3","13.4","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:17:35,"-29.67727","45.04751","63.9","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:12:17,"-29.68593","45.02714","63.6","13.4","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 20:12:16,"-29.68593","45.02714","63.6","13.4","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:55:35,"-29.71222","44.96357","66","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:55:24,"-29.71248","44.96287","64.6","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:55:15,"-29.71273","44.9623","65.5","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:55:04,"-29.71303","44.9615","63.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:54:44,"-29.71357","44.96023","64.6","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:54:35,"-29.7138","44.95965","65.1","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:54:04,"-29.71459","44.95773","64.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:54:04,"-29.71459","44.95773","64.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:54:04,"-29.71459","44.95773","64.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:53:35,"-29.71533","44.95589","64.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:53:15,"-29.71586","44.95462","64.7","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:53:04,"-29.71618","44.95391","64","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:52:44,"-29.71674","44.95262","64.3","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:52:35,"-29.71695","44.95206","64.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:52:15,"-29.71747","44.9508","64.4","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:52:04,"-29.71775","44.9501","63.6","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:51:44,"-29.71828","44.94885","64","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:51:35,"-29.71853","44.94828","65","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:51:15,"-29.71903","44.94702","66","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:51:04,"-29.71928","44.94631","64.5","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:50:44,"-29.71977","44.94504","65","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:50:44,"-29.71977","44.94504","65","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:50:35,"-29.72","44.94453","65","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:50:15,"-29.72056","44.94326","65.1","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:50:04,"-29.72085","44.94251","64.8","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:49:54,"-29.72111","44.94187","64.4","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:49:45,"-29.72134","44.94131","65.1","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:48:24,"-29.72349","44.93623","64.7","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:47:54,"-29.72424","44.93433","64.4","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:47:04,"-29.72555","44.9312","63.3","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:46:54,"-29.72584","44.93058","65.3","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:46:45,"-29.72605","44.93","63.4","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:46:34,"-29.72635","44.92939","65.8","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:46:25,"-29.72656","44.92874","63.4","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:46:15,"-29.72683","44.92812","65.9","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:46:04,"-29.72705","44.92751","64.1","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:46:04,"-29.72705","44.92751","64.1","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:45:54,"-29.72735","44.92682","65.2","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:45:45,"-29.72755","44.9263","63.9","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:45:35,"-29.72786","44.92561","65.6","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:45:25,"-29.72806","44.92505","64.6","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:45:04,"-29.72855","44.92372","64.3","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:44:54,"-29.72888","44.92298","64.9","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:44:45,"-29.7291","44.92247","64.5","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:44:45,"-29.7291","44.92247","64.5","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:44:35,"-29.72935","44.92184","64.7","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:44:25,"-29.72961","44.92121","64.6","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:44:04,"-29.73017","44.91988","64","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:43:25,"-29.73117","44.91744","64.1","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:43:14,"-29.73144","44.91676","65","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:42:54,"-29.73198","44.9155","65.1","13","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:42:54,"-29.73198","44.9155","65.1","13","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:42:05,"-29.73328","44.91239","62.7","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:41:05,"-29.73486","44.90868","64.4","13","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:41:05,"-29.73486","44.90868","64.4","13","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:36:45,"-29.74154","44.89248","65.5","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:35:45,"-29.74308","44.88873","63.6","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:10:47,"-29.78331","44.79713","62.2","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:10:16,"-29.78413","44.79529","62.7","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:10:16,"-29.78413","44.79529","62.7","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:09:25,"-29.78554","44.79213","63.1","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:09:25,"-29.78554","44.79213","63.1","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:09:07,"-29.78604","44.79097","62.9","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:08:37,"-29.78683","44.78916","61.6","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:08:37,"-29.78683","44.78916","61.6","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:08:26,"-29.78692","44.78895","62.6","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:08:16,"-29.78719","44.78833","62.6","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:08:07,"-29.78744","44.7878","63.1","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:07:37,"-29.78825","44.78597","62.5","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:07:07,"-29.78912","44.78407","63.3","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:06:37,"-29.78992","44.78223","62.1","13","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:06:16,"-29.79049","44.78094","61.7","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:06:07,"-29.79073","44.78043","62.1","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:05:37,"-29.79157","44.77858","61.3","12.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:05:37,"-29.79157","44.77858","61.3","12.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:05:07,"-29.79243","44.77678","62.3","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:04:56,"-29.79271","44.77604","60.2","12.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:04:46,"-29.793","44.77548","62.2","13.2","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:04:27,"-29.79357","44.77431","62.3","13","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:04:17,"-29.79379","44.77367","60.5","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:04:17,"-29.79379","44.77367","60.5","13.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:04:07,"-29.79413","44.77308","61.9","12.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:04:07,"-29.79413","44.77308","61.9","12.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:04:06,"-29.79413","44.77308","61.9","12.8","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:03:46,"-29.79474","44.77179","61.7","12.9","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:03:37,"-29.79506","44.77116","61.3","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 19:03:17,"-29.79561","44.77","62.4","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 18:32:57,"-29.84323","44.65407","67.2","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 18:28:55,"-29.84901","44.63828","67.5","13.3","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 18:27:16,"-29.85137","44.63173","66.5","13.4","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:58:54,"-29.89289","44.52003","67.1","13.4","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:58:53,"-29.89289","44.52003","67.1","13.4","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:57:34,"-29.89481","44.51472","68.4","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:57:05,"-29.89548","44.51276","67.4","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:56:34,"-29.89617","44.5108","67.1","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:56:15,"-29.89665","44.50947","67.5","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:55:53,"-29.89717","44.508","66.9","13.5","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:55:16,"-29.89809","44.50549","66.2","13.6","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:23:17,"-29.9518","44.38276","62.5","13.6","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:18:15,"-29.96034","44.36349","62.9","13.7","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 17:16:58,"-29.96255","44.35849","64.4","13.6","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:45:00,"-30.01513","44.23024","65.9","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:45:00,"-30.01513","44.23024","65.9","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:45:00,"-30.01513","44.23024","65.9","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:45:00,"-30.01513","44.23024","65.9","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:42:55,"-30.01852","44.22159","65.3","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:30:17,"-30.03892","44.17017","64.9","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:30:17,"-30.03892","44.17017","64.9","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:29:17,"-30.04044","44.16611","67.2","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:28:41,"-30.04132","44.16364","68.8","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:26:23,"-30.04446","44.15395","70.8","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:26:23,"-30.04446","44.15395","70.8","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:25:23,"-30.04574","44.1498","71.3","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:25:23,"-30.04574","44.1498","71.3","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:25:23,"-30.04574","44.1498","71.3","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:25:17,"-30.04588","44.1493","70.5","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:25:17,"-30.04588","44.1493","70.5","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:25:05,"-30.04613","44.14844","70.8","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:25:05,"-30.04613","44.14844","70.8","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:24:34,"-30.04678","44.1463","71","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:24:34,"-30.04678","44.1463","71","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:24:23,"-30.04702","44.14544","70.8","14","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:24:17,"-30.04712","44.1451","71.2","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:24:17,"-30.04712","44.1451","71.2","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:23:42,"-30.04783","44.14254","70.5","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:23:34,"-30.04797","44.14205","71.8","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:23:29,"-30.04807","44.14169","71.4","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:23:29,"-30.04807","44.14169","71.4","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:23:23,"-30.04822","44.14121","71.5","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:23:17,"-30.04832","44.14087","71.5","14.1","Sat-AIS","9486518","NEW VIGOROUS"
2018-08-13 16:22:53,"-30.04881","44.13915","70.8","14.1","Sat-AIS","9486518","NEW VIGOROUS"
